Time (s),VRAM (MB)
0.2,2168
40.9,8139
81.8,8884
122.5,9866
163.2,11015
204.0,12033
244.7,10998
285.5,13201
326.2,12493
367.0,13458
407.7,12271
448.4,13402
489.1,15134
530.3,15966
571.1,16011
612.0,15993
652.8,16000
693.7,15985
734.8,15984
775.7,15983
816.7,15981
860.7,15976
