Time (s),VRAM (MB)
0.0,2171
40.8,4478
82.1,11342
123.5,12785
164.2,12732
204.9,12830
245.5,13151
286.2,13796
327.0,13913
367.7,14549
408.3,14231
449.9,13171
490.8,14274
531.9,15816
572.6,14394
613.3,15281
654.0,15574
694.7,15873
735.5,15088
776.4,15859
817.4,15769
858.9,15891
899.6,15840
940.5,15840
981.3,15879
1022.2,15866
1063.0,15828
1103.8,15842
1144.8,15891
1185.6,15904
1227.1,15341
1267.9,15773
1308.7,15746
1349.4,15739
1390.2,15747
1431.2,15788
1472.0,15804
1512.9,15873
1553.7,15924
1594.6,15903
1635.3,15910
1676.1,15886
1716.9,15896
1757.7,15901
1798.5,15886
1839.2,15912
1880.0,15891
1920.8,15865
1961.7,15880
2002.5,15375
2043.4,15865
2084.1,15859
2125.6,15823
2167.8,15793
2209.2,15941
2249.9,15969
2290.7,16016
2331.5,16016
2372.4,16022
2414.0,16024
2454.7,15959
2495.5,15978
2536.2,15979
2577.0,15965
2617.8,15707
2658.8,16002
2699.8,15995
2740.6,15979
2781.6,16035
2822.5,16027
2863.3,16031
2904.2,16025
2945.3,16024
2986.0,15992
3027.1,16030
